Time_ini_ms,Time_fin_ms,sdnn,rmsdd,pnn50
1742053473.0057907,1742053476.2557907,0.1601848931703611,0.15356431877229823,0.0
1742053473.3817906,1742053477.0797906,0.06784688644293128,0.09319871243745823,0.0
1742053474.0297906,1742053477.8157907,0.04666904755831232,0.07971825386948746,0.0
1742053474.8117907,1742053478.4797907,0.058967787816739635,0.08449260322655505,0.0
1742053475.5497906,1742053479.2717907,0.06444532566447336,0.10401442207694123,0.0
1742053476.2557907,1742053479.9877906,0.06282356245868283,0.09267146270562496,0.0
1742053477.0797906,1742053480.6457908,0.05482700064749135,0.08638865666278207,0.0
1742053477.8157907,1742053481.3617907,0.05359850744190567,0.08448668534153796,0.0
1742053478.4797907,1742053482.1617906,0.0590694506492147,0.06964194138592072,0.0
1742053479.2717907,1742053482.8617907,0.05141206084179098,0.07669419795525644,0.0
1742053479.9877906,1742053483.4837906,0.06740919818541065,0.08112952606788712,0.0
1742053480.6457908,1742053484.3077908,0.08161372433604502,0.12683059567785623,0.0
1742053481.3617907,1742053485.0377908,0.0812157620169875,0.12926329718833515,0.0
1742053482.1617906,1742053485.7737906,0.07335393649968591,0.11968291440301669,0.0
1742053482.8617907,1742053486.4457908,0.07671245009775109,0.11752871989433014,0.0
1742053483.4837906,1742053487.2377906,0.059833101206606294,0.08443932733033835,0.0
1742053484.3077908,1742053487.9137907,0.050299105359837275,0.0911427451857801,0.0
1742053485.0377908,1742053488.6957908,0.057699220098715885,0.10586311916810387,0.0
1742053485.7737906,1742053489.3437908,0.06866731391280832,0.12141663806909021,0.0
1742053486.4457908,1742053489.9677906,0.07824832266572912,0.10555567251455697,0.0
1742053487.2377906,1742053490.8357906,0.10241484267429225,0.1493385415758439,0.0
1742053487.9137907,1742053491.5537908,0.09949472347818258,0.15767688479926253,0.0
1742053488.6957908,1742053492.2797906,0.09477763449253186,0.1422919533916082,0.0
1742053489.3437908,1742053492.9897907,0.08703332695008206,0.14203872711341678,0.0
1742053489.9677906,1742053493.7117908,0.06638373294716104,0.07455870170543491,0.0
1742053490.8357906,1742053494.4197907,0.006782329983126748,0.01090871211463895,0.0
1742053491.5537908,1742053495.1937907,0.026138094804328695,0.03367491648096822,0.0
1742053492.2797906,1742053495.8997908,0.027806474066304765,0.04662617290750173,0.0
1742053492.9897907,1742053496.6157906,0.02738612787525954,0.04652956049652971,0.0
1742053493.7117908,1742053497.2637906,0.0439408693587197,0.05672741841473275,0.0
1742053494.4197907,1742053498.0397906,0.05243281415297194,0.07850477692472045,0.0
1742053495.1937907,1742053498.7597907,0.04484194465007103,0.07617742447733511,0.0
1742053495.8997908,1742053499.4857907,0.04492215489043281,0.07609862022402311,0.0
1742053496.6157906,1742053500.2117908,0.04510875746459934,0.06857842226240071,0.0
1742053497.2637906,1742053500.9477906,0.022045407685048875,0.027549954627912415,0.0
1742053498.0397906,1742053501.6837907,0.007266360849833473,0.005477225575049599,0.0
1742053498.7597907,1742053502.3677907,0.022387496510327995,0.02747726332806697,0.0
1742053499.4857907,1742053503.1617906,0.03991490949507263,0.0623698645180478,0.0
1742053500.2117908,1742053503.8397908,0.0480957378569015,0.08570880934886081,0.0
1742053500.9477906,1742053504.6277907,0.05608208270026892,0.10238163897886807,0.0
1742053501.6837907,1742053505.3737907,0.05622454979810677,0.10117806086301223,0.0
1742053502.3677907,1742053506.0657907,0.05391845695121335,0.0881873006730538,0.0
1742053503.1617906,1742053506.7857907,0.04432606456702322,0.06682065548915198,0.0
1742053503.8397908,1742053507.5037906,0.03630426972134244,0.03645545226711678,0.0
1742053504.6277907,1742053508.2317908,0.018729655629508284,0.02934280150224208,0.0
1742053505.3737907,1742053508.9717908,0.017469974241536988,0.015297058540778471,0.0
1742053506.0657907,1742053509.6417906,0.027239676943752244,0.03689173349139076,0.0
1742053506.7857907,1742053510.3757906,0.02872629457483162,0.04949747468305716,0.0
1742053507.5037906,1742053511.0957906,0.028726294574831668,0.04997999599839752,0.0
1742053508.2317908,1742053511.8697908,0.03869366873275265,0.05685947590331657,0.0
