time,SI
1764939600.4575036,0.7142857142857143
1764939601.4815035,0.7142857142857143
1764939602.5035036,0.6984126984126984
1764939603.5295036,0.6984126984126984
1764939604.5535035,0.6984126984126984
1764939605.5755036,0.7380952380952381
1764939606.5995035,0.746031746031746
1764939607.6255035,0.753968253968254
1764939608.6475034,0.753968253968254
1764939609.6715035,0.7619047619047619
1764939610.6975036,0.7777777777777778
1764939611.7215035,0.7698412698412699
1764939612.7435036,0.7698412698412699
1764939613.7695036,0.7698412698412699
1764939614.7935035,0.7698412698412699
1764939615.8155036,0.7777777777777778
1764939616.8395035,0.7777777777777778
1764939617.8655035,0.7777777777777778
1764939618.8895035,0.7857142857142857
1764939619.9115036,0.7857142857142857
1764939620.9375036,0.7936507936507936
1764939621.9615035,0.7936507936507936
1764939622.9835036,0.7936507936507936
1764939624.0095034,0.7936507936507936
1764939625.0335035,0.7857142857142857
1764939626.0555034,0.7777777777777778
1764939627.0795035,0.7777777777777778
1764939628.1055036,0.7777777777777778
1764939629.1295035,0.753968253968254
1764939630.1515036,0.753968253968254
1764939631.1775036,0.753968253968254
1764939632.2015035,0.753968253968254
1764939633.2235036,0.7619047619047619
1764939634.2475035,0.7619047619047619
1764939635.2735035,0.7619047619047619
1764939636.2955034,0.7619047619047619
1764939637.3195035,0.7698412698412699
1764939638.3455036,0.7619047619047619
1764939639.3695035,0.7619047619047619
1764939640.3915036,0.753968253968254
1764939641.4175036,0.746031746031746
1764939642.4415035,0.746031746031746
1764939643.4635034,0.746031746031746
1764939644.4875035,0.746031746031746
1764939645.5135036,0.7380952380952381
1764939646.5375035,0.7380952380952381
1764939647.5595036,0.7380952380952381
1764939648.5855036,0.7380952380952381
1764939649.6095035,0.746031746031746
1764939650.6315036,0.746031746031746
1764939651.6575034,0.7777777777777778
1764939652.6815035,0.7936507936507936
1764939653.7035034,0.7936507936507936
1764939654.7275035,0.7936507936507936
1764939655.7535036,0.7857142857142857
1764939656.7775035,0.7619047619047619
1764939657.7995036,0.7619047619047619
1764939658.8255036,0.7619047619047619
1764939659.8495035,0.7619047619047619
1764939660.8715036,0.7619047619047619
1764939661.8955035,0.7619047619047619
1764939662.9215035,0.7619047619047619
1764939663.9435034,0.7698412698412699
1764939664.9675035,0.7936507936507936
1764939665.9935036,0.7936507936507936
1764939667.0175035,0.8015873015873016
1764939668.0395036,0.7936507936507936
1764939669.0655036,0.8015873015873016
1764939670.0895035,0.8015873015873016
1764939671.1115034,0.8015873015873016
1764939672.1355035,0.7936507936507936
1764939673.1615036,0.7936507936507936
1764939674.1855035,0.7936507936507936
1764939675.2075036,0.8015873015873016
1764939676.2335036,0.8015873015873016
1764939677.2575035,0.8015873015873016
1764939678.2795036,0.8015873015873016
1764939679.3035035,0.8015873015873016
1764939680.3295035,0.8015873015873016
1764939681.3515034,0.8015873015873016
1764939682.3755035,0.7936507936507936
1764939683.4015036,0.7936507936507936
1764939684.4255035,0.7936507936507936
1764939685.4475036,0.7936507936507936
1764939686.4735036,0.7857142857142857
1764939687.4975035,0.7857142857142857
1764939688.5195036,0.7857142857142857
1764939689.5435035,0.7857142857142857
1764939690.5695035,0.7698412698412699
1764939691.5915034,0.753968253968254
1764939692.6155035,0.753968253968254
1764939693.6415036,0.7380952380952381
1764939694.6655035,0.7301587301587301
1764939695.6875036,0.7301587301587301
1764939696.7135034,0.7301587301587301
1764939697.7375035,0.746031746031746
1764939698.7595034,0.7777777777777778
1764939699.7835035,0.7857142857142857
1764939700.8095036,0.7857142857142857
1764939701.8335035,0.7936507936507936
1764939702.8555036,0.7936507936507936
1764939703.8815036,0.7936507936507936
1764939704.9055035,0.7698412698412699
1764939705.9275036,0.753968253968254
1764939706.9515035,0.753968253968254
1764939707.9775035,0.753968253968254
1764939708.9995034,0.753968253968254
1764939710.0235035,0.7619047619047619
1764939711.0495036,0.7698412698412699
1764939712.0735035,0.7698412698412699
1764939713.0955036,0.7936507936507936
1764939714.1215036,0.7936507936507936
1764939715.1455035,0.7936507936507936
1764939716.1675036,0.7619047619047619
1764939717.1915035,0.746031746031746
1764939718.2175035,0.7222222222222222
1764939719.2395034,0.7222222222222222
1764939720.2635036,0.7063492063492064
1764939721.2895036,0.6984126984126984
1764939722.3135035,0.7063492063492064
1764939723.3355036,0.7063492063492064
1764939724.3615034,0.7063492063492064
1764939725.3855035,0.7063492063492064
1764939726.4075034,0.7301587301587301
1764939727.4315035,0.7301587301587301
1764939728.4575036,0.7698412698412699
1764939729.4815035,0.7857142857142857
1764939730.5035036,0.7857142857142857
1764939731.5295036,0.8015873015873016
1764939732.5535035,0.7936507936507936
1764939733.5755036,0.7698412698412699
1764939734.5995035,0.7698412698412699
1764939735.6255035,0.7619047619047619
1764939736.6475034,0.753968253968254
1764939737.6715035,0.746031746031746
1764939738.6975036,0.746031746031746
1764939739.7215035,0.7301587301587301
1764939740.7435036,0.746031746031746
1764939741.7695036,0.753968253968254
1764939742.7935035,0.753968253968254
1764939743.8155036,0.753968253968254
1764939744.8395035,0.7619047619047619
1764939745.8655035,0.7619047619047619
1764939746.8895035,0.7619047619047619
1764939747.9115036,0.7698412698412699
1764939748.9375036,0.7698412698412699
1764939749.9615035,0.7698412698412699
1764939750.9835036,0.7777777777777778
1764939752.0095034,0.7857142857142857
1764939753.0335035,0.7857142857142857
1764939754.0555034,0.7857142857142857
1764939755.0795035,0.7857142857142857
1764939756.1055036,0.7857142857142857
1764939757.1295035,0.7857142857142857
1764939758.1515036,0.7857142857142857
1764939759.1775036,0.7857142857142857
1764939760.2015035,0.7857142857142857
1764939761.2235036,0.7857142857142857
1764939762.2475035,0.7936507936507936
1764939763.2735035,0.8015873015873016
1764939764.2955034,0.8015873015873016
1764939765.3195035,0.8015873015873016
1764939766.3455036,0.8015873015873016
1764939767.3695035,0.8015873015873016
1764939768.3915036,0.7857142857142857
1764939769.4175036,0.7777777777777778
1764939770.4415035,0.7777777777777778
1764939771.4635034,0.7777777777777778
1764939772.4875035,0.7777777777777778
1764939773.5135036,0.7777777777777778
1764939774.5375035,0.7857142857142857
1764939775.5595036,0.7857142857142857
1764939776.5855036,0.7857142857142857
1764939777.6095035,0.7777777777777778
1764939778.6315036,0.7619047619047619
1764939779.6575034,0.746031746031746
1764939780.6815035,0.746031746031746
1764939781.7035034,0.7301587301587301
1764939782.7275035,0.7301587301587301
1764939783.7535036,0.7301587301587301
1764939784.7775035,0.7380952380952381
1764939785.7995036,0.753968253968254
1764939786.8255036,0.7619047619047619
1764939787.8495035,0.7619047619047619
1764939788.8715036,0.746031746031746
1764939789.8955035,0.7380952380952381
1764939790.9215035,0.7301587301587301
1764939791.9435034,0.7301587301587301
1764939792.9675035,0.7301587301587301
1764939793.9935036,0.7380952380952381
1764939795.0175035,0.753968253968254
1764939796.0395036,0.753968253968254
1764939797.0655036,0.7777777777777778
1764939798.0895035,0.7698412698412699
