Time_ini_ms,Time_fin_ms,sdnn,rmsdd,pnn50
1764938832.3194184,1764938834.8694184,0.07314369419163831,0.060249481325566484,0.0
1764938832.7174184,1764938835.3834183,0.039309032040996804,0.04631414470763901,0.0
1764938833.1974185,1764938835.9594183,0.02889290570365045,0.04562893818619982,0.0
1764938833.7414184,1764938836.4894183,0.030541774670114333,0.046583258795410025,0.0
1764938834.3274183,1764938837.0674183,0.028284271247463813,0.04756048780237916,0.0
1764938834.8694184,1764938837.7214184,0.05452338947644356,0.05924525297439386,0.0
1764938835.3834183,1764938838.3494184,0.048551004109079234,0.05213444159094571,0.0
1764938835.9594183,1764938838.9474185,0.047589914898009976,0.04913247398615056,0.0
1764938836.4894183,1764938839.6714184,0.05687530219699993,0.07620367445208938,0.0
1764938837.0674183,1764938840.2154183,0.06677424653262873,0.11163780721601838,0.0
1764938837.7214184,1764938840.7734184,0.07162960281894859,0.11109905490147498,0.0
1764938838.3494184,1764938841.3534184,0.07189714876127055,0.1106300140106698,0.0
1764938838.9474185,1764938841.9314184,0.07264433907745542,0.09094503834734859,0.0
1764938839.6714184,1764938842.5314183,0.0215870331449246,0.01708800749063952,0.0
1764938840.2154183,1764938843.0654182,0.02501999200639465,0.03649657518179226,0.0
1764938840.7734184,1764938843.7214184,0.04425833254879804,0.0702281994643188,0.0
1764938841.3534184,1764938844.2694185,0.048137303622034895,0.088583294136084,0.0
1764938841.9314184,1764938844.9014184,0.05253570214625529,0.09741663102366067,0.0
1764938842.5314183,1764938845.5974183,0.06993711461019764,0.09708243919473665,0.0
1764938843.0654182,1764938846.2534184,0.05510716831774028,0.0781280999384976,0.0
1764938843.7214184,1764938846.9414184,0.05946427498927261,0.05868560300448658,0.0
1764938844.2694185,1764938847.8314183,0.10253194624115974,0.10899999999999947,0.0
1764938844.9014184,1764938848.5474184,0.09245106813877425,0.13574240310234473,0.0
1764938845.5974183,1764938849.2474184,0.09210863151735789,0.13449907062875743,0.0
1764938846.2534184,1764938849.9334183,0.08691375035056267,0.13372733452813296,0.0
1764938846.9414184,1764938850.4974184,0.11664133058226214,0.10678483038334717,0.0
1764938847.8314183,1764938851.1394184,0.06111301007150879,0.07317786550591344,0.0
1764938848.5474184,1764938851.7254183,0.05982307247208332,0.07794228634061054,0.0
1764938849.2474184,1764938852.3114183,0.05007194823452167,0.07762731478031334,0.0
1764938849.9334183,1764938852.9314184,0.03102901867607815,0.05093132631299814,0.0
1764938850.4974184,1764938853.4274185,0.055659680200308204,0.07012132343304006,0.0
1764938851.1394184,1764938854.0094182,0.04623851208679029,0.07734339015068206,0.0
1764938851.7254183,1764938854.7494183,0.08834704296127291,0.11055767725491453,0.0
1764938852.3114183,1764938855.3654184,0.08776787567214431,0.12561050911449378,0.0
1764938852.9314184,1764938856.0494184,0.09389781680103589,0.1144115378797159,0.0
1764938853.4274185,1764938856.6714184,0.06287447812905163,0.11046266337546663,0.0
1764938854.0094182,1764938857.3574183,0.051408170556831286,0.08357631243360891,0.0
1764938854.7494183,1764938857.9974184,0.033508207949692434,0.06058052492343929,0.0
1764938855.3654184,1764938858.5894184,0.040511726697338345,0.055587768438745286,0.0
1764938856.0494184,1764938859.2414184,0.03491131621694987,0.0550363516232654,0.0
1764938856.6714184,1764938859.8174183,0.04493550934394348,0.058728187440101394,0.0
1764938857.3574183,1764938860.4794183,0.038115613598625205,0.0690579466824723,0.0
1764938857.9974184,1764938861.0134184,0.05360223875921119,0.09104394543295144,0.0
1764938858.5894184,1764938861.5834184,0.05561654430113029,0.08782368700981497,0.0
1764938859.2414184,1764938862.1034184,0.05537869626489303,0.08303011501857482,0.0
1764938859.8174183,1764938862.7034183,0.05679084433250834,0.08151686941975755,0.0
1764938860.4794183,1764938863.3214183,0.04179473651071128,0.05128352561982103,0.0
1764938861.0134184,1764938863.8254185,0.04942469018618305,0.07453187237685718,0.0
1764938861.5834184,1764938864.4634182,0.06021627686930118,0.09705153270300025,0.0
1764938862.1034184,1764938864.9534183,0.06816157275181395,0.11530394615971705,0.0
1764938862.7034183,1764938865.5674183,0.06996570588510488,0.13060627856272217,0.0
1764938863.3214183,1764938866.2474184,0.08405474406599828,0.12205736356321129,0.0
1764938863.8254185,1764938866.9234183,0.07745192057012014,0.10204410811017432,0.0
1764938864.4634182,1764938867.5674183,0.07785370896752587,0.07206247289678674,0.0
1764938864.9534183,1764938868.2454183,0.028892905703645923,0.0404722126896887,0.0
1764938865.5674183,1764938868.8774183,0.02236067977499345,0.032832910318758034,0.0
1764938866.2474184,1764938869.5194185,0.021137644144982894,0.03315116890849524,0.0
1764938866.9234183,1764938870.0894184,0.03935987804859363,0.04624932431938585,0.0
1764938867.5674183,1764938870.7194183,0.03889472972010629,0.0524404424085111,0.0
1764938868.2454183,1764938871.2714183,0.041099878345323984,0.06117188896871844,0.0
1764938868.8774183,1764938871.8894184,0.0392530253611161,0.06932532004976114,0.0
1764938869.5194185,1764938872.4434183,0.03670422319026127,0.06733498347814414,0.0
1764938870.0894184,1764938873.0934184,0.04511319097559101,0.07705841939724005,0.0
1764938870.7194183,1764938873.6734183,0.0424876452630643,0.07511324783285592,0.0
1764938871.2714183,1764938874.3114183,0.040199502484482494,0.073443856107912,0.0
1764938871.8894184,1764938874.9694183,0.046216880033164355,0.06685805860178275,0.0
1764938872.4434183,1764938875.6834183,0.047916594202843596,0.054313902455999694,0.0
1764938873.0934184,1764938876.3274183,0.047929114325219985,0.054313902456004266,0.0
1764938873.6734183,1764938877.0014184,0.03041052449399734,0.04831148931672854,0.0
1764938874.3114183,1764938877.5854185,0.047467883879523845,0.06526101439604329,0.0
1764938874.9694183,1764938878.2074184,0.0495459382795397,0.06193545026881277,0.0
1764938875.6834183,1764938878.8254185,0.03332866633995483,0.051137070702185615,0.0
1764938876.3274183,1764938879.4134183,0.036072149922066116,0.05113707070218145,0.0
1764938877.0014184,1764938880.0254183,0.017584083712262243,0.027092434368280596,0.0
1764938877.5854185,1764938880.7074184,0.03479655155327844,0.03997499218261227,0.0
