Time_ini_ms,Time_fin_ms,sdnn,rmsdd,pnn50
1734387489.4643464,1734387492.7103465,0.10863148714806398,0.12670438035048348,0.0
1734387490.3003464,1734387493.3963463,0.047231345523921026,0.06360817557515734,0.0
1734387490.9043465,1734387495.9583464,0.866821088806681,0.937923770889724,0.0
1734387491.4643464,1734387504.1703465,3.2722815893501584,2.9725648857510243,0.0
1734387492.1043463,1734387512.5023463,3.9009643423133205,2.973115873961188,0.0
1734387492.7103465,1734387513.7183464,3.772364510489409,4.631893889112746,0.0
1734387493.3963463,1734387520.7243464,3.3346520058320928,5.378702910553806,0.0
1734387495.9583464,1734387525.7263465,2.9620217419863746,4.687473093256108,0.0
1734387504.1703465,1734387529.0083463,2.8411960861580807,4.76533356649878,0.0
1734387512.5023463,1734387537.4003463,2.8590017838399446,4.074850181295009,0.0
1734387513.7183464,1734387545.6803465,2.2080400358689136,2.8732088333429533,0.0
1734387520.7243464,1734387553.9183464,2.3568298199063924,2.6936616342814803,0.0
1734387525.7263465,1734387562.2143464,2.2430330358690647,2.5528521304611393,0.0
1734387529.0083463,1734387570.4143465,0.07181921748389944,0.0809876533799987,0.0
1734387537.4003463,1734387578.6923463,0.0385642321328966,0.07055494312944718,0.0
1734387545.6803465,1734387586.9743464,0.038564232132895546,0.0670671305484257,0.0
1734387553.9183464,1734387595.2603464,0.038173289090670845,0.06054750201288236,0.0
1734387562.2143464,1734387603.5363464,0.035625833323588145,0.03863935817272576,0.0
1734387570.4143465,1734387611.8883464,0.032081147111654086,0.03863935817271178,0.0
1734387578.6923463,1734387620.1003463,0.04897754587563208,0.07905694150420005,0.0
1734387586.9743464,1734387628.3803463,0.04898979485565991,0.08561541917200774,0.0
1734387595.2603464,1734387636.6523464,0.04902244383952706,0.08549853799918802,0.0
1734387603.5363464,1734387645.0483463,0.07152062639545927,0.09853933224858656,0.0
1734387611.8883464,1734387653.3103464,0.0670760762120077,0.09646242791883482,0.0
1734387620.1003463,1734387661.5743463,0.056737994324783964,0.09064215354897699,0.0
1734387628.3803463,1734387669.8903463,0.056610953003807044,0.09421252570649478,0.0
1734387636.6523464,1734387678.1743464,0.05505633478537747,0.07250517222929007,0.0
1734387645.0483463,1734387686.4523463,0.021419617176786424,0.030282007859461474,0.0
1734387653.3103464,1734387694.6263463,0.053579846957612705,0.060174745533343656,0.0
1734387661.5743463,1734387702.9063463,0.054214389233867406,0.07655716818171812,0.0
1734387669.8903463,1734387711.1923463,0.04885898075074085,0.0750999334220999,0.0
1734387678.1743464,1734387719.5403464,0.06264822423661882,0.08114801291469975,0.0
1734387686.4523463,1734387727.8603463,0.06610597552416489,0.06385138996139696,0.0
1734387694.6263463,1734387736.0343463,0.06529012176432938,0.07965550828411692,0.0
1734387702.9063463,1734387744.4003463,0.0752143603309997,0.1239596708611455,0.0
1734387711.1923463,1734387752.5963464,0.08871978358857081,0.1470714112259991,0.0
1734387719.5403464,1734387760.9823463,0.09760737677042758,0.17507141400015253,0.0
1734387727.8603463,1734387769.1603463,0.1066452061745135,0.19102617621681128,0.0
1734387736.0343463,1734387777.5223465,0.10200980345047453,0.18955210365494796,0.0
1734387744.4003463,1734387785.7223463,0.10104058590489476,0.18736328348962708,0.0
1734387752.5963464,1734387794.0043464,0.09334238051390654,0.16579806995260096,0.0
1734387760.9823463,1734387802.2843463,0.07309719556864606,0.12831601614764915,0.0
